Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29-July-2022,799.50,832.85,798.55,826.90,823.979189135210705012,25035,2420,20628319.00,8415,33.61,34.30,27.40
28-July-2022,793.20,797.55,783.10,795.15,790.740859869196955076,9327,994,7375240.00,5789,62.07,14.45,1.95
27-July-2022,783.45,793.45,782.65,788.05,786.947368421052631578,2888,472,2272704.00,644,22.30,10.80,4.60
26-July-2022,780.25,794.50,772.70,790.65,783.603450674829553360,7187,915,5631758.00,1968,27.38,21.80,10.40
25-July-2022,782.90,787.50,771.90,778.50,780.225728155339805825,7004,815,5464701.00,2648,37.81,15.60,-4.40
22-July-2022,787.40,789.90,771.55,779.90,780.632767995857068876,15448,1703,12059215.00,5743,37.18,18.35,-7.50
21-July-2022,798.70,819.90,792.90,797.60,805.635710407817839236,31313,2590,25226871.00,12517,39.97,27.00,-1.10
20-July-2022,765.00,803.00,765.00,798.70,789.908802685565087653,32172,3233,25412946.00,13744,42.72,38.00,33.70
19-July-2022,776.00,776.00,761.75,763.40,764.892219570405727923,10475,1638,8012246.00,4362,41.64,14.25,-12.60
18-July-2022,777.00,792.00,765.45,770.05,781.037935323383084577,16080,2234,12559090.00,5903,36.71,26.55,-6.95
15-July-2022,767.00,777.50,765.05,770.80,771.978503869303525365,8141,931,6284677.00,2977,36.57,12.45,3.80
14-July-2022,776.20,777.20,759.00,769.85,769.952487765089722675,4904,903,3775847.00,1394,28.43,18.20,-6.35
13-July-2022,772.80,776.20,771.40,773.90,774.250592216582064297,5910,992,4575821.00,2615,44.25,4.80,1.10
12-July-2022,773.50,790.55,766.05,772.80,778.202109166763240236,8629,1116,6715106.00,3104,35.97,24.50,-0.70
11-July-2022,768.00,784.00,754.10,780.15,775.375944348866781359,13369,1546,10366001.00,6666,49.86,29.90,12.15
8-July-2022,749.00,783.00,743.20,769.60,768.229688976909573749,44434,4709,34135518.00,16975,38.20,39.80,20.60
7-July-2022,737.00,750.00,725.65,736.60,736.368336299686414102,11799,1442,8688410.00,4728,40.07,24.35,-0.40
6-July-2022,764.95,765.85,732.70,736.00,743.339984971194790014,11977,1668,8902983.00,8057,67.27,33.15,-28.95
5-July-2022,759.70,769.90,759.70,762.95,766.237683941138835572,3126,559,2395259.00,725,23.19,10.20,3.25
4-July-2022,774.00,774.00,753.00,763.00,757.594923943188503235,11899,1012,9014622.00,3100,26.05,21.00,-11.00
1-July-2022,756.00,765.85,749.30,761.25,757.490773852095551423,6991,1011,5295618.00,2377,34.00,16.55,5.25
30-June-2022,760.20,771.75,752.45,757.00,762.584316917650250983,7371,1199,5621009.00,2605,35.34,19.30,-3.20
29-June-2022,774.95,776.65,758.80,764.65,767.191927650309830849,5971,902,4580903.00,1608,26.93,17.85,-10.30
28-June-2022,791.65,796.45,771.10,775.65,780.596600021383513311,9353,1714,7300920.00,5158,55.15,25.35,-16.00
27-June-2022,798.00,799.60,789.70,792.00,794.036312241791693846,9198,979,7303546.00,3520,38.27,9.90,-6.00
24-June-2022,807.45,810.30,778.50,782.05,793.078264049737900768,8203,900,6505621.00,1906,23.24,31.80,-25.40
23-June-2022,796.50,809.05,781.50,791.30,791.311071153352170562,7786,830,6161148.00,2161,27.75,27.55,-5.20
